Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
60,392,60_memorial_veterans_honor_memorialday,"['memorial', 'veterans', 'honor', 'memorialday', 'neverforget', 'day', 'served', 'military', 'veteransday', 'service']","['memorialday', 'memorial', 'remembrance', 'veteransday', 'honoring', 'monument', 'veteransday2021', 'happyveteransday', 'patriotday', 'cemetery']","['memorial', 'veterans', 'honor', 'memorialday', 'neverforget', 'veteransday', 'sacrifice', 'heroes', 'marines', 'soldiers']","['memorial today at the', 'happy memorial day ,', 'memorial day ,']"
61,388,61_cleared_accident_traffic_dfwtraffic,"['cleared', 'accident', 'traffic', 'dfwtraffic', 'stop', 'back', 'delay', 'rd', 'eb', 'nb']","['traffic', 'accident', 'crash', 'cleared', 'incident', 'tollway', 'stopped', 'atltraffic', 'airport', 'atxtraffic']","['cleared', 'accident', 'traffic', 'dfwtraffic', 'delay', 'exit', 'atxtraffic', 'stopped', 'slow', 'jammed']","['accident cleared in  on between and traffic', 'accident cleared in  on at traffic', 'accident cleared in  on e at traffic']"
62,384,62_dmg_tstm_wnd_tree,"['dmg', 'tstm', 'wnd', 'tree', 'reports', 'edt', 'trees', 'estimated', 'pm', 'cdt']","['trees', 'tree', 'tstm', 'branches', 'wnd', 'wnw', 'dmg', 'nnw', 'nws', 'outages']","['dmg', 'tree', 'reports', 'cdt', 'radar', 'blown', 'road', 'damage', 'wires', 'emergency']","['at :15 pm edt, ene [ , ] public reports tstm wnd dmg. few trees down.', 'at :30 pm edt, [ , ] call center reports tstm wnd dmg. tree down blocking road.', 'at :15 pm edt, [ , ] call center reports tstm wnd dmg. trees across road.']"
63,375,63_gst_tstm_wnd_mph,"['gst', 'tstm', 'wnd', 'mph', 'non', 'reports', 'mdt', 'station', 'pm', 'asos']","['mph', 'tstm', 'm60', 'gst', 'm65', 'm70', 'm40', 'm63', 'm55', 'm66']","['gst', 'tstm', 'mph', 'reports', 'station', 'delayed', 'highways', 'm53', 'nw', 'airport']","['at :05 pm est, [ , ] reports non-tstm wnd gst of m58 mph', 'at :20 pm est, [ , ] reports non-tstm wnd gst of m60 mph', 'at :00 pm cdt, n [ co, ne] reports non-tstm wnd gst of m58 mph']"
64,371,64_twitter_tweet_tweets_account,"['twitter', 'tweet', 'tweets', 'account', 'followers', 'facebook', 'tweeting', 'retweet', 'follow', 'tweeted']","['tuiter', 'tweet', 'tweeting', 'tweets', 'tweeted', 'tweeter', 'twitter', 'tweeps', 'retweets', 'retweet']","['tweet', 'tweets', 'tweeting', 'retweet', 'tweeted', 'retweets', 'hashtags', 'retweeting', 'tweeter', 'tuiter']","['all of twitter has for sure', 'twitter look', 'twitter ']"
65,370,65_tacos_taco_burrito_mexican,"['tacos', 'taco', 'burrito', 'mexican', 'bell', 'food', 'tacotuesday', 'burritos', 'tamales', 'churros']","['tacos', 'taco', 'burritos', 'tortillas', 'burrito', 'mexicanfood', 'churros', 'enchiladas', 'chilis', 'nachos']","['tacos', 'taco', 'burrito', 'burritos', 'churros', 'mexicanfood', 'tortillas', 'foodie', 'lunch', 'enchiladas']","['tacos because i like tacos and i dont live in', 'best tacos in ? tacos ', '( tacos in , )']"
66,370,66_jobs_hiring_greystar_leasing,"['jobs', 'hiring', 'greystar', 'leasing', 'manager', 'technician', 'penske', 'property', 'supervisor', 'management']","['hiring', 'jobs', 'manager', 'management', 'career', 'managing', 'leasing', 'supervisor', 'lease', 'consultant']","['hiring', 'greystar', 'leasing', 'technician', 'supervisor', 'management', 'maintenance', 'truck', 'lincoln', 'groundskeeper']","['now hiring: construction manager | greystar: , | jobs', 'now hiring: leasing manager - | greystar: , | jobs', 'now hiring: leasing manager | greystar: view, | jobs']"
67,357,67_heat_hot_degrees_humidity,"['heat', 'hot', 'degrees', 'humidity', 'humid', 'weather', 'warmer', 'temperature', 'hotter', 'degree']","['calor', 'hot', 'hottest', 'heat', 'hotter', 'heatwave', 'temp', 'warm', 'scorching', 'temperature']","['heat', 'humid', 'weather', 'hotter', 'heatwave', 'hottest', 'cooler', 'summers', 'temperatures', 'warm']","['loving the heat in , only degrees ,', 'the heat is on! ,', 'the heat is on! ']"
68,356,68_flood_flash_flooding_reports,"['flood', 'flash', 'flooding', 'reports', 'edt', 'water', 'cdt', 'flooded', 'pm', 'road']","['flooding', 'flood', 'floods', 'inundacion', 'flooded', 'flash', 'warning', 'aviso', 'river', 'creek']","['flood', 'flash', 'flooding', 'water', 'flooded', 'emergency', 'highway', 'closed', 'nws', 'creek']","['flash flood warning including , , until :00 pm cdt', 'flash flood warning including , , until :00 pm edt', 'at :54 pm edt, w [ , ] call center reports flash flood. vehicle in flood water']"
69,353,69_hotel_casino_inn_resort,"['hotel', 'casino', 'inn', 'resort', 'room', 'suites', 'posted', 'photo', 'hotels', 'seasons']","['hotel', 'hotels', 'hotellife', 'motel', 'casino', 'casinos', 'resort', 'resorts', 'vegas', 'lobby']","['hotel', 'casino', 'resort', 'room', 'suites', 'photo', 'hotels', 'luxury', 'downtown', 'marriott']","[' hotel &amp; casino', 'hotel', ': a hotel on the , , [c. ]']"
70,353,70_listing_realestate_show_would,"['listing', 'realestate', 'show', 'would', 'love', 'drive', 'street', 'road', 'dr', 'avenue']","['realtors', 'realestate', 'listing', 'listed', 'properties', 'agent', '2396', 'dennard', 'realty', 'delraybeach']","['realestate', 'show', 'would', 'street', 'stephanie', 'professionals', 'lane', 'weslake', 'waterwheel', 'kelly']","['i would love to show you my listing at j   realestate', 'i would love to show you my listing at    realestate', 'i would love to show you my listing at w   realestate']"
71,349,71_video_posted_youtube_videos,"['video', 'posted', 'youtube', 'videos', 'channel', 'check', 'link', 'bio', 'new', 'watch']","['videoclip', 'video', 'videos', 'youtube', 'videoshoot', 'footage', 'youtuber', 'youtubers', 'filmed', 'vlogging']","['video', 'youtube', 'watch', 'vlog', 'vlogging', 'videoclip', 'vlogger', 'facebook', 'youtuber', 'differencemaker']","['just posted a video / , ,', 'just posted a video .', 'just posted a video /']"
