unicode	country	unicode_1	country_code
\\u0001f1f8\\u0001f1f0	Slovakia	\u0001f1f8\u0001f1f0	flag: Slovakia
\\u0001f1f8\\u0001f1f1	Sierra Leone	\u0001f1f8\u0001f1f1	flag: Sierra Leone
\\u0001f1f8\\u0001f1f2	San Marino	\u0001f1f8\u0001f1f2	flag: San Marino
\\u0001f1f8\\u0001f1f3	Senegal	\u0001f1f8\u0001f1f3	flag: Senegal
\\u0001f1f8\\u0001f1f4	Somalia	\u0001f1f8\u0001f1f4	flag: Somalia
\\u0001f1f8\\u0001f1f7	Suriname	\u0001f1f8\u0001f1f7	flag: Suriname
\\u0001f1f8\\u0001f1f8	South Sudan	\u0001f1f8\u0001f1f8	flag: South Sudan
\\u0001f1f8\\u0001f1f9	Sao Tome and Principe	\u0001f1f8\u0001f1f9	flag: Sao Tome and Principe
\\u0001f1f8\\u0001f1fb	El Salvador	\u0001f1f8\u0001f1fb	flag: El Salvador
\\u0001f1f8\\u0001f1fd	Sint Maarten (Dutch Part)	\u0001f1f8\u0001f1fd	flag: Sint Maarten (Dutch Part)
\\u0001f1f8\\u0001f1fe	Syrian Arab Republic	\u0001f1f8\u0001f1fe	flag: Syrian Arab Republic
\\u0001f1f8\\u0001f1ff	Swaziland	\u0001f1f8\u0001f1ff	flag: Swaziland
\\u0001f1f9\\u0001f1e8	Turks and Caicos Islands	\u0001f1f9\u0001f1e8	flag: Turks and Caicos Islands
\\u0001f1f9\\u0001f1e9	Chad	\u0001f1f9\u0001f1e9	flag: Chad
\\u0001f1f9\\u0001f1eb	French Southern Territories	\u0001f1f9\u0001f1eb	flag: French Southern Territories
\\u0001f1f9\\u0001f1ec	Togo	\u0001f1f9\u0001f1ec	flag: Togo
\\u0001f1f9\\u0001f1ed	Thailand	\u0001f1f9\u0001f1ed	flag: Thailand
\\u0001f1f9\\u0001f1ef	Tajikistan	\u0001f1f9\u0001f1ef	flag: Tajikistan
\\u0001f1f9\\u0001f1f0	Tokelau	\u0001f1f9\u0001f1f0	flag: Tokelau
\\u0001f1f9\\u0001f1f1	Timor-Leste	\u0001f1f9\u0001f1f1	flag: Timor-Leste
\\u0001f1f9\\u0001f1f2	Turkmenistan	\u0001f1f9\u0001f1f2	flag: Turkmenistan
\\u0001f1f9\\u0001f1f3	Tunisia	\u0001f1f9\u0001f1f3	flag: Tunisia
\\u0001f1f9\\u0001f1f4	Tonga	\u0001f1f9\u0001f1f4	flag: Tonga
\\u0001f1f9\\u0001f1f7	Turkey	\u0001f1f9\u0001f1f7	flag: Turkey
\\u0001f1f9\\u0001f1f9	Trinidad and Tobago	\u0001f1f9\u0001f1f9	flag: Trinidad and Tobago
\\u0001f1f9\\u0001f1fb	Tuvalu	\u0001f1f9\u0001f1fb	flag: Tuvalu
\\u0001f1f9\\u0001f1fc	Taiwan	\u0001f1f9\u0001f1fc	flag: Taiwan
\\u0001f1f9\\u0001f1ff	Tanzania	\u0001f1f9\u0001f1ff	flag: Tanzania
\\u0001f1fa\\u0001f1e6	Ukraine	\u0001f1fa\u0001f1e6	flag: Ukraine
\\u0001f1fa\\u0001f1ec	Uganda	\u0001f1fa\u0001f1ec	flag: Uganda
\\u0001f1fa\\u0001f1f2	United States Minor Outlying Islands	\u0001f1fa\u0001f1f2	flag: United States Minor Outlying Islands
\\u0001f1fa\\u0001f1f8	United States	\u0001f1fa\u0001f1f8	flag: United States
\\u0001f1fa\\u0001f1fe	Uruguay	\u0001f1fa\u0001f1fe	flag: Uruguay
\\u0001f1fa\\u0001f1ff	Uzbekistan	\u0001f1fa\u0001f1ff	flag: Uzbekistan
\\u0001f1fb\\u0001f1e6	Vatican City	\u0001f1fb\u0001f1e6	flag: Vatican City
\\u0001f1fb\\u0001f1e8	Saint Vincent and The Grenadines	\u0001f1fb\u0001f1e8	flag: Saint Vincent and The Grenadines
\\u0001f1fb\\u0001f1ea	Venezuela	\u0001f1fb\u0001f1ea	flag: Venezuela
\\u0001f1fb\\u0001f1ec	Virgin Islands, British	\u0001f1fb\u0001f1ec	flag: Virgin Islands, British
\\u0001f1fb\\u0001f1ee	Virgin Islands, U.S.	\u0001f1fb\u0001f1ee	flag: Virgin Islands, U.S.
\\u0001f1fb\\u0001f1f3	Viet Nam	\u0001f1fb\u0001f1f3	flag: Viet Nam
\\u0001f1fb\\u0001f1fa	Vanuatu	\u0001f1fb\u0001f1fa	flag: Vanuatu
\\u0001f1fc\\u0001f1eb	Wallis and Futuna	\u0001f1fc\u0001f1eb	flag: Wallis and Futuna
\\u0001f1fc\\u0001f1f8	Samoa	\u0001f1fc\u0001f1f8	flag: Samoa
\\u0001f1fe\\u0001f1ea	Yemen	\u0001f1fe\u0001f1ea	flag: Yemen
\\u0001f1fe\\u0001f1f9	Mayotte	\u0001f1fe\u0001f1f9	flag: Mayotte
\\u0001f1ff\\u0001f1e6	South Africa	\u0001f1ff\u0001f1e6	flag: South Africa
\\u0001f1ff\\u0001f1f2	Zambia	\u0001f1ff\u0001f1f2	flag: Zambia
\\u0001f1ff\\u0001f1fc	Zimbabwe 	\u0001f1ff\u0001f1fc	flag: Zimbabwe 
\\U0001f3f4\\U000e0067\\U000e0062\\U000e0065\\U000e006e\\U000e0067\\U000e007f	England	\u0001f3f4\u000e0067\u000e0062\u000e0065\u000e006e\u000e0067\u000e007f	flag: England
\\U0001f3F4\\U000e0067\\U000e0062\\U000e0073\\U000e0063\\U000e0074\\U000e007f	Scotland	\u0001f3F4\u000e0067\u000e0062\u000e0073\u000e0063\u000e0074\u000e007f	flag: Scotland
\\U0001f3f4\\U000e0067\\U000e0062\\U000e0077\\U000e006c\\U000e0073\\U000e007f	Wales	\u0001f3f4\u000e0067\u000e0062\u000e0077\u000e006c\u000e0073\u000e007f	flag: Wales
\\u0001f1ea\\u0001f1fa	European Union	\u0001f1ea\u0001f1fa	flag: European Union
